Prototype,Vintage,Object Class_1,Object Name_1.1,Schedule_Name,Design_Level,Unit,Control_Option,End_Use_Subcategory_1.1,Object Class_2,Object Name_2.1,Fuel_Use_Type,Schedule_Name,Design_Level,Unit,End_Use_Subcategory_2.1,Object Class_3,Object Name_3.1,Tank_Volume,Unit,Setpoint_temperature_Schedule_Name,Heater_Maximum_Capacity,Unit,Ambient_temperature_Indicator,Ambient_temperature_Schedule_Name,Off_On_Cycle_Loss_Coefficient_to_Ambient_Temperature,Unit,End_Use_Subcategory_3.1
RetailStripMall,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_RetailStripMall,RetailStripMallExtLightingNonMotionCtrl,346.56245453752,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
Warehouse,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_Warehouse,WarehouseExtLightingNonMotionCtrl,1380.431521,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
Warehouse,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_Warehouse,WarehouseExtLightingMotionCtrl,751.5569012048193,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Warehouse,Electricity,WarehouseElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,50,gal,SHWSystemSetpointTemp135,49726.19999999999,Btu/hr,Schedule,WaterHeaterAmbientTemp,3.5028000000000006,Btu/hr-F,ElecWaterHeater
RestaurantFastFood,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_RestaurantFastFood,RestaurantFastFoodExtLightingMotionCtrl,351,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_RestaurantFastFood,Electricity,RestaurantFastFoodElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,50,gal,SHWSystemSetpointTemp135,49726.19999999999,Btu/hr,Schedule,WaterHeaterAmbientTemp,12.76887532545078,Btu/hr-F,GasWaterHeater
RestaurantFastFood,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_RestaurantFastFood,RestaurantFastFoodExtLightingNonMotionCtrl,116.75,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
RestaurantSitDown,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_RestaurantSitDown,RestaurantSitDownExtLightingNonMotionCtrl,136.86346699999999,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
RestaurantSitDown,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_RestaurantSitDown,RestaurantSitDownExtLightingMotionCtrl,760.8555739999999,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_RestaurantSitDown,Electricity,RestaurantSitDownElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,106.3588617648,gal,SHWSystemSetpointTemp135,70517.62709185062,Btu/hr,Schedule,WaterHeaterAmbientTemp,18.57639632093204,Btu/hr-F,GasWaterHeater
ApartmentHighRise,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_ApartmentHighRise,ApartmentHighRiseExtLightingMotionCtrl,2087.689503366667,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_ApartmentHighRise,Electricity,ApartmentHighRiseElevator,10597.39,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,40,gal,SHWSystemSetpointTemp130,37061.71724557862,Btu/hr,Schedule,WaterHeaterAmbientTemp,12.155000297310647,Btu/hr-F,GasWaterHeater
ApartmentHighRise,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_ApartmentHighRise,ApartmentHighRiseExtLightingNonMotionCtrl,873.346437,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
ApartmentMidRise,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_ApartmentMidRise,ApartmentMidRiseExtLightingMotionCtrl,2229.969133511111,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_ApartmentMidRise,Electricity,ApartmentMidRiseElevator,4360.9,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,47,gal,SHWSystemSetpointTemp130,43187.995057173546,Btu/hr,Schedule,WaterHeaterAmbientTemp,13.25166529549917,Btu/hr-F,GasWaterHeater
ApartmentMidRise,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_ApartmentMidRise,ApartmentMidRiseExtLightingNonMotionCtrl,1367.709632,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
